t,pos,reward,action,layer_outputs
102,4.0745994439911355,-4.0745994439911355,0,"[-0.095123790204525, -0.0950557067990303, -0.09444797784090042, -0.09509516507387161, -0.09637797623872757, -0.0960802286863327]"
103,4.030558964415296,-4.030558964415296,0,"[-0.04754617065191269, -0.04757292941212654, -0.04781630262732506, -0.04755652695894241, -0.04704431816935539, -0.047162704169750214]"
104,4.065367970988,-4.065367970988,0,"[-0.14861278235912323, -0.1484586000442505, -0.14707519114017487, -0.1485508531332016, -0.15145522356033325, -0.15078338980674744]"
105,4.083167872136611,-4.083167872136611,0,"[0.044652633368968964, 0.04445972293615341, 0.04272858798503876, 0.04457530379295349, 0.04819992557168007, 0.047362979501485825]"
106,4.086074250627562,-4.086074250627562,0,"[-0.058782171458005905, -0.05878132954239845, -0.05878722295165062, -0.058782171458005905, -0.05877374857664108, -0.05877796560525894]"
107,4.0872529379732265,-4.0872529379732265,0,"[-0.055186979472637177, -0.05520056560635567, -0.055308353155851364, -0.05519293248653412, -0.05496453493833542, -0.05501718819141388]"
108,4.124219787110004,-4.124219787110004,0,"[-0.06007235869765282, -0.06007235869765282, -0.060079071670770645, -0.06007068231701851, -0.06005724146962166, -0.06006060540676117]"
109,4.137871454090989,-4.137871454090989,0,"[0.02704116329550743, 0.02687603421509266, 0.0253963153809309, 0.02697349339723587, 0.030086185783147812, 0.029364028945565224]"
110,4.156919346604578,-4.156919346604578,0,"[-0.06303680688142776, -0.06302596628665924, -0.06291836500167847, -0.06303263455629349, -0.06326442211866379, -0.06320857256650925]"
111,4.150087467390431,-4.150087467390431,0,"[-0.01323302835226059, -0.013324936851859093, -0.014145773835480213, -0.013271093368530273, -0.011526325717568398, -0.011933312751352787]"
112,4.137297809606709,-4.137297809606709,0,"[-0.09139327704906464, -0.09133317321538925, -0.09079263359308243, -0.09136829525232315, -0.09251020848751068, -0.09224547445774078]"
113,4.132819565770992,-4.132819565770992,0,"[-0.07469192147254944, -0.07466349750757217, -0.07441738992929459, -0.07468055188655853, -0.07520154118537903, -0.07508068531751633]"
114,4.137086957608422,-4.137086957608422,0,"[-0.06357019394636154, -0.06356435269117355, -0.06349438428878784, -0.06356768310070038, -0.06371260434389114, -0.0636792927980423]"
115,4.122125948617644,-4.122125948617644,0,"[-0.04790661856532097, -0.047925595194101334, -0.048116184771060944, -0.047914378345012665, -0.04751482605934143, -0.047607190907001495]"
116,4.115954432118269,-4.115954432118269,0,"[-0.09678761661052704, -0.09672520309686661, -0.09615157544612885, -0.09676218032836914, -0.09796836972236633, -0.09768944978713989]"
117,4.146058104086589,-4.146058104086589,0,"[-0.06047109514474869, -0.06046941876411438, -0.060451801866292953, -0.060470253229141235, -0.06050800904631615, -0.060497935861349106]"
118,4.132763148493829,-4.132763148493829,0,"[0.016965027898550034, 0.016827726736664772, 0.015594877302646637, 0.01690974459052086, 0.019500382244586945, 0.018897846341133118]"
119,4.162777997368579,-4.162777997368579,0,"[-0.11655586212873459, -0.11645906418561935, -0.11559121310710907, -0.11651626974344254, -0.11834517121315002, -0.1179201751947403]"
120,4.20042928833939,-4.20042928833939,0,"[0.04210689663887024, 0.04194001108407974, 0.04043352231383324, 0.042038753628730774, 0.045202095061540604, 0.04446827992796898]"
